,wage,exper,union,goodhlth,black,female,married,service,educ,looks
81,7.79,8.333333333333334,1,1,0,1,0,1,17,1
82,8.79,8.0,1,1,0,1,1,1,16,1
83,9.32,8.333333333333334,1,1,0,1,0,0,17,1
84,8.33,2.3333333333333335,0,1,0,1,0,1,17,1
85,10.12,13.333333333333334,0,1,1,1,0,1,10,1
86,1.98,9.666666666666666,0,0,0,1,0,1,8,0
87,8.24,4.333333333333333,0,1,0,1,1,1,17,1
88,5.05,1.6666666666666667,0,1,0,1,0,1,14,1
89,6.55,3.3333333333333335,0,1,0,1,1,0,16,0
90,4.47,8.333333333333334,1,1,0,0,1,1,13,0
91,7.96,3.3333333333333335,0,1,0,1,1,1,16,1
92,6.25,6.666666666666667,0,1,0,0,0,1,17,0
93,4.13,2.3333333333333335,0,1,0,0,0,0,16,0
94,6.73,8.333333333333334,0,1,0,1,1,1,13,0
95,7.69,2.6666666666666665,0,1,0,1,0,1,17,1
96,4.35,2.6666666666666665,0,1,0,1,1,1,14,0
97,7.69,9.333333333333334,0,1,0,0,1,0,14,1
98,4.81,12.333333333333334,0,1,0,0,1,1,16,0
99,5.24,10.333333333333334,0,1,0,0,1,1,17,0
100,2.14,8.0,0,1,0,0,1,1,16,1
101,4.49,11.0,0,1,0,0,1,1,17,1
102,3.61,2.6666666666666665,0,1,0,0,1,1,17,1
103,5.45,11.0,0,1,0,0,1,1,17,0
104,5.0,10.0,0,1,0,0,1,1,17,0
105,6.73,7.666666666666667,0,1,0,0,1,1,17,0
106,10.05,8.0,0,1,0,0,1,0,16,1
107,6.54,1.3333333333333333,0,1,0,0,1,0,17,1
108,9.2,13.333333333333334,0,1,0,1,0,1,17,1
109,4.62,0.3333333333333333,0,1,0,1,0,1,16,0
110,3.37,12.0,0,1,1,1,0,1,13,0
111,5.54,2.3333333333333335,0,1,0,1,0,1,17,1
112,6.11,2.3333333333333335,0,1,0,1,1,0,12,1
113,4.99,4.666666666666667,0,1,0,1,0,1,13,0
114,5.88,2.3333333333333335,0,1,0,1,1,1,17,0
115,5.66,3.6666666666666665,1,1,0,1,0,1,16,1
116,4.0,2.0,0,1,0,0,1,1,16,0
117,6.87,7.666666666666667,0,1,0,1,1,1,16,0
118,4.37,6.333333333333333,0,1,0,1,0,1,17,0
119,5.77,10.0,0,1,0,0,1,0,13,0
120,5.77,7.0,0,1,0,0,1,1,17,1
121,12.31,3.0,0,1,0,0,1,1,17,1
122,19.08,9.666666666666666,1,1,0,0,1,1,17,1
123,7.55,3.0,0,1,0,1,0,1,17,1
124,5.9,6.0,0,1,0,1,0,1,17,1
125,6.37,8.666666666666666,0,1,0,1,0,1,17,0
126,6.15,7.0,1,1,0,0,1,1,17,1
127,1.92,4.0,1,1,0,1,1,1,17,0
128,3.27,3.6666666666666665,0,1,0,0,0,1,17,0
129,2.18,6.0,0,1,0,0,0,1,17,1
130,5.62,7.333333333333333,0,1,0,0,1,1,17,0
131,9.29,12.666666666666666,0,1,0,1,0,1,17,1
132,6.41,3.3333333333333335,1,1,0,1,1,1,17,0
133,7.46,7.333333333333333,1,1,0,1,1,1,16,1
134,6.59,5.333333333333333,1,1,0,1,0,1,17,0
135,6.73,6.666666666666667,1,1,0,1,1,1,17,0
136,5.61,4.666666666666667,1,1,0,1,1,1,16,0
137,3.65,4.666666666666667,0,1,0,1,1,1,16,1
138,13.01,5.0,1,1,0,0,1,1,17,1
139,6.97,6.0,1,1,0,0,0,1,17,0
140,7.69,7.0,1,1,0,1,1,1,17,1
141,6.73,5.0,0,1,0,0,1,1,16,0
142,5.13,3.3333333333333335,1,1,0,1,0,1,17,0
143,2.14,2.0,0,1,0,1,1,1,16,1
144,4.53,2.6666666666666665,1,1,0,1,1,1,14,0
145,9.1,6.0,0,1,0,1,0,1,17,0
146,9.78,5.0,1,1,0,1,0,1,17,1
147,3.63,3.6666666666666665,0,1,0,1,1,1,13,1
148,7.21,6.666666666666667,1,0,1,1,1,1,17,1
149,10.62,6.0,1,1,0,1,1,1,17,1
150,4.62,3.3333333333333335,1,1,0,1,1,1,17,0
151,6.54,8.666666666666666,1,1,0,1,0,1,14,0
152,12.12,11.666666666666666,1,0,0,1,0,1,17,1
153,7.21,10.0,1,1,0,1,1,1,16,1
154,6.25,2.0,1,0,0,1,0,1,16,1
155,3.85,4.333333333333333,1,1,0,1,1,1,17,0
156,3.03,3.3333333333333335,0,0,0,1,1,1,16,0
157,2.01,5.333333333333333,0,1,0,1,1,1,16,0
158,3.9,1.6666666666666667,1,1,0,1,1,1,17,1
159,6.35,3.6666666666666665,1,1,0,1,0,1,17,0
160,2.0,2.0,0,1,0,1,1,1,14,1
161,7.69,7.333333333333333,1,1,0,0,1,1,17,1
162,2.63,1.3333333333333333,0,1,0,1,0,1,12,0
163,5.0,5.0,1,1,0,1,1,1,17,1
164,6.54,2.3333333333333335,0,1,0,1,0,1,17,0
165,5.19,3.3333333333333335,0,1,0,1,1,1,16,0
166,9.75,2.6666666666666665,1,1,0,1,1,1,16,1
167,2.81,4.666666666666667,0,1,1,1,1,0,13,0
168,4.62,3.6666666666666665,1,1,0,0,1,1,17,0
169,7.33,11.333333333333334,1,1,0,0,1,1,17,1
170,7.69,4.0,1,1,0,0,1,1,17,1
171,3.26,3.3333333333333335,1,1,0,0,1,1,17,0
172,5.77,3.6666666666666665,0,1,0,1,0,1,17,0
173,5.59,2.6666666666666665,1,1,0,0,0,1,17,1
174,5.13,9.333333333333334,0,1,1,0,0,1,16,0
175,14.74,8.0,1,1,0,0,1,1,17,0
176,3.67,2.6666666666666665,1,1,0,1,0,1,17,0
177,9.73,4.333333333333333,0,1,0,0,1,1,17,1
178,3.46,1.3333333333333333,1,1,0,0,1,1,13,0
179,6.37,14.333333333333334,1,1,0,0,1,1,17,1
180,6.58,10.0,0,1,0,1,1,1,16,0
181,10.15,5.333333333333333,1,1,1,0,0,1,16,1
182,9.23,6.333333333333333,1,1,0,0,1,1,17,1
183,6.75,7.0,0,0,0,0,1,1,17,0
184,10.22,8.666666666666666,0,1,0,1,0,1,17,1
185,4.76,2.6666666666666665,1,1,0,0,1,1,16,0
186,1.76,8.0,0,1,0,1,0,1,17,0
187,12.73,5.0,1,1,0,0,1,1,17,1
188,5.85,8.666666666666666,1,1,0,0,1,0,12,0
189,3.17,2.0,0,0,0,0,1,0,16,0
190,5.99,6.333333333333333,0,1,0,0,1,0,12,0
191,4.62,1.3333333333333333,0,1,0,0,1,0,12,0
192,1.8,7.666666666666667,0,1,0,0,1,1,13,1
193,5.95,8.333333333333334,0,1,0,0,1,1,13,1
194,7.46,6.0,0,1,0,0,1,0,12,1
195,8.7,9.0,0,1,0,0,1,0,13,0
196,3.75,5.333333333333333,0,1,0,0,1,0,10,0
197,7.69,6.666666666666667,0,1,0,0,1,1,12,1
198,5.24,4.0,0,0,0,0,1,0,14,0
199,10.1,11.666666666666666,0,1,0,0,1,0,12,1
200,3.75,12.0,0,1,0,0,0,0,12,0
201,5.79,11.666666666666666,0,1,0,0,1,0,13,0
202,5.06,1.6666666666666667,0,1,0,0,1,1,17,0
203,7.96,5.0,1,1,0,0,1,0,13,1
204,12.82,14.666666666666666,1,1,0,0,1,0,12,1
205,8.46,9.333333333333334,0,1,0,0,1,0,13,1
206,3.76,0.6666666666666666,1,1,0,1,0,1,13,1
207,2.86,14.333333333333334,0,1,0,0,1,1,12,0
208,11.81,10.0,1,1,0,0,1,0,10,1
209,7.69,8.666666666666666,0,1,0,0,1,0,12,1
210,7.21,13.333333333333334,1,0,0,0,1,0,12,1
211,2.88,2.3333333333333335,0,1,1,1,0,1,13,1
212,5.73,3.3333333333333335,1,1,0,1,0,0,12,0
213,4.49,12.333333333333334,0,1,0,0,1,1,12,0
214,9.57,9.0,1,1,0,0,1,1,17,1
215,3.61,1.6666666666666667,0,1,0,0,1,1,17,0
216,7.77,4.666666666666667,0,1,0,0,1,0,13,0
217,9.23,5.333333333333333,0,1,0,0,0,0,16,0
218,5.58,1.3333333333333333,0,1,0,0,1,0,17,0
219,5.34,13.0,0,1,0,0,1,1,16,0
220,5.17,10.666666666666666,1,1,0,0,1,1,12,0
221,6.41,5.333333333333333,0,1,0,0,1,1,17,1
222,7.4,3.3333333333333335,0,1,0,1,0,1,17,1
223,6.75,5.0,0,1,0,0,1,0,17,1
224,8.46,3.3333333333333335,0,1,0,0,1,1,17,1
225,4.61,3.3333333333333335,0,1,0,1,0,0,13,0
226,8.61,4.0,0,0,0,1,1,0,12,1
227,5.24,1.3333333333333333,0,1,0,0,0,0,16,1
228,15.38,4.0,0,1,0,0,0,0,17,1
229,2.37,5.0,0,1,0,1,1,0,12,1
230,6.72,12.333333333333334,0,1,0,1,0,0,12,1
231,9.4,7.666666666666667,0,1,0,0,1,0,14,1
232,7.84,5.0,0,1,0,0,1,0,16,1
233,15.0,3.3333333333333335,0,1,0,0,0,0,17,1
234,4.7,4.666666666666667,0,1,0,1,1,0,12,1
235,11.28,5.666666666666667,0,1,0,0,0,0,13,1
236,11.97,8.0,0,1,0,0,1,0,16,1
237,13.99,4.333333333333333,0,1,0,0,1,0,17,1
238,3.0,1.6666666666666667,0,1,0,1,1,0,13,0
239,3.41,6.666666666666667,0,1,0,1,1,0,12,0
240,9.62,9.666666666666666,0,1,0,0,1,0,14,1
241,6.73,3.3333333333333335,0,1,0,0,0,0,16,1
242,9.62,12.0,0,1,0,0,1,1,13,1
243,5.19,5.0,0,1,0,1,1,1,13,0
244,4.62,8.666666666666666,0,1,0,1,1,1,12,0
245,5.03,4.333333333333333,0,1,0,1,1,1,14,1
246,9.84,8.666666666666666,0,1,0,0,1,0,14,1
247,5.29,3.0,1,1,0,0,1,0,12,0
248,10.99,13.333333333333334,0,1,0,0,1,0,12,0
249,7.08,9.333333333333334,1,0,0,0,1,0,16,1
250,8.17,4.0,0,1,0,0,0,0,16,0
251,5.88,8.333333333333334,0,1,0,1,1,1,13,1
252,7.92,6.0,0,1,0,1,1,0,13,1
253,4.44,3.0,0,1,0,0,0,0,17,0
254,6.64,3.0,1,1,0,0,1,0,13,0
255,15.8,10.0,0,0,0,0,1,0,17,1
256,9.23,13.333333333333334,0,1,0,1,0,0,14,1
257,12.82,12.0,0,1,0,0,1,0,17,1
258,14.18,10.0,0,1,0,0,1,0,16,1
259,11.54,9.0,1,1,0,0,1,1,12,1
260,9.4,7.333333333333333,1,1,0,0,1,1,12,1
261,10.39,13.333333333333334,1,1,0,0,1,0,13,1
262,5.54,13.333333333333334,0,1,1,0,1,1,12,0
263,7.86,7.0,0,1,0,0,1,0,14,1
264,8.17,12.0,1,0,0,0,1,0,13,1
265,4.05,5.333333333333333,0,1,0,1,1,1,12,1
266,7.81,12.0,1,0,0,0,1,0,10,1
267,2.56,6.0,0,1,0,0,1,0,13,0
268,12.98,3.6666666666666665,0,1,0,0,0,0,16,1
269,41.67,5.333333333333333,0,0,0,0,1,0,13,1
270,4.81,4.0,0,1,0,1,1,0,13,1
271,1.32,0.6666666666666666,1,1,0,0,1,0,10,0
272,3.71,1.3333333333333333,0,1,0,0,0,0,16,0
273,4.81,7.0,1,1,0,0,1,1,16,0
274,4.68,1.3333333333333333,0,1,0,0,0,0,12,0
275,8.21,10.666666666666666,1,1,0,1,0,1,17,0
276,4.03,2.3333333333333335,0,1,0,1,0,0,16,0
277,4.81,1.6666666666666667,0,0,0,0,0,0,13,0
278,15.63,7.666666666666667,0,1,0,0,1,0,16,1
279,7.69,7.666666666666667,1,1,0,0,1,0,5,1
280,7.17,4.666666666666667,0,1,0,0,1,0,13,1
281,8.08,4.333333333333333,0,1,0,0,1,0,16,1
282,9.03,9.333333333333334,0,1,0,0,1,0,13,1
283,6.75,11.666666666666666,0,1,0,0,1,0,14,1
284,8.44,5.333333333333333,0,1,0,0,1,0,13,1
285,6.0,4.0,0,1,0,0,1,1,17,1
286,6.15,2.3333333333333335,0,1,0,0,1,1,17,0
287,4.1,8.333333333333334,0,1,0,0,1,1,12,0
288,14.17,7.333333333333333,1,1,0,0,1,0,13,1
289,6.41,7.333333333333333,0,1,0,0,1,1,17,0
290,31.09,10.666666666666666,0,0,0,0,1,0,13,1
291,10.29,11.666666666666666,0,1,0,0,1,1,13,1
292,5.06,9.333333333333334,0,1,0,0,1,0,12,0
293,6.37,6.0,0,1,0,0,1,0,13,0
294,2.98,3.6666666666666665,0,1,0,1,0,0,17,0
295,13.28,13.333333333333334,0,1,0,0,1,0,13,1
296,4.2,3.3333333333333335,0,1,0,0,1,0,13,0
297,8.92,13.333333333333334,0,1,0,0,1,1,12,1
298,2.63,2.3333333333333335,0,1,0,1,1,0,16,0
299,26.24,8.0,0,1,0,0,1,0,12,1
300,7.54,12.0,0,1,0,0,0,0,12,1
301,8.65,11.333333333333334,0,1,0,0,1,1,13,1
302,20.99,14.666666666666666,0,1,0,0,1,0,16,1
303,10.26,14.666666666666666,0,1,0,0,1,1,13,1
304,8.55,10.0,0,1,0,0,1,0,16,1
305,2.08,7.666666666666667,0,1,0,0,1,0,12,1
306,3.0,1.6666666666666667,0,0,0,0,0,0,13,0
307,6.01,8.333333333333334,0,1,0,0,1,1,16,1
308,10.05,4.666666666666667,0,1,0,0,0,0,13,1
309,5.73,1.6666666666666667,0,1,0,0,1,0,12,0
310,5.93,6.666666666666667,0,1,0,0,1,0,12,0
311,4.49,0.3333333333333333,0,1,0,0,0,0,10,0
312,5.66,4.333333333333333,0,1,0,0,0,0,16,1
313,10.19,5.0,0,1,0,0,1,0,12,1
314,20.99,11.666666666666666,0,1,0,0,1,0,12,1
315,9.05,6.666666666666667,0,1,0,0,1,0,12,1
316,3.92,4.0,0,1,0,0,1,1,12,1
317,4.28,2.3333333333333335,0,1,0,1,0,1,16,1
318,2.75,2.3333333333333335,0,1,0,1,0,0,16,0
319,2.88,10.666666666666666,0,1,0,0,1,0,12,1
320,6.41,4.333333333333333,0,1,0,0,1,0,13,0
321,7.69,5.0,0,1,0,0,1,1,13,1
322,3.75,11.0,0,0,0,1,0,1,10,0
323,6.41,16.0,0,1,0,0,1,0,8,0
324,11.54,12.666666666666666,0,1,0,0,1,0,16,1
325,11.4,9.333333333333334,0,1,0,0,1,1,16,1
326,2.2,6.0,0,1,0,1,1,0,13,1
327,1.65,8.0,0,1,0,1,0,1,13,0
328,6.59,9.0,0,1,0,0,0,1,12,0
329,11.06,8.0,0,1,0,0,1,0,5,1
330,1.63,5.333333333333333,0,1,0,0,1,1,10,0
331,3.58,14.666666666666666,0,1,0,1,1,0,12,0
332,12.31,4.666666666666667,0,1,0,0,1,0,16,1
333,6.66,5.333333333333333,0,1,0,0,1,0,12,0
334,10.53,6.0,0,1,0,1,1,1,16,1
335,1.92,6.0,0,1,0,1,1,1,13,0
336,19.23,5.0,0,1,0,0,1,0,13,1
337,7.21,13.666666666666666,0,1,0,0,1,0,12,1
338,25.64,9.333333333333334,0,1,0,0,1,0,16,1
339,3.85,8.0,0,1,0,0,1,0,12,0
340,10.99,4.333333333333333,0,1,0,0,1,0,12,1
341,10.02,7.333333333333333,0,1,0,0,1,0,13,1
342,5.31,6.0,0,1,0,0,1,0,13,1
343,7.19,13.333333333333334,0,1,0,0,1,0,13,1
344,3.82,5.666666666666667,0,1,0,0,1,0,13,1
345,9.62,5.666666666666667,0,1,0,0,1,0,12,1
346,9.62,6.666666666666667,0,1,0,0,1,0,16,1
347,3.85,10.0,0,1,0,0,1,1,12,1
348,7.5,10.0,0,1,0,0,1,0,12,1
349,6.92,7.333333333333333,0,1,0,0,1,1,12,1
350,7.69,2.3333333333333335,0,1,0,0,1,0,12,1
351,9.23,7.666666666666667,0,1,0,0,0,0,14,1
352,1.27,2.6666666666666665,0,1,0,1,1,0,13,0
353,4.82,10.333333333333334,0,1,0,0,1,0,10,1
354,6.75,10.0,0,1,0,0,1,0,12,0
355,8.55,8.666666666666666,0,1,0,0,0,0,13,0
356,6.41,8.0,1,1,0,0,1,0,12,1
357,7.44,4.0,1,1,0,0,1,0,13,1
358,1.32,12.333333333333334,0,1,0,1,1,0,12,0
359,4.81,5.333333333333333,0,1,0,1,0,0,14,1
360,14.35,7.666666666666667,0,1,0,0,1,1,16,1
361,2.4,3.0,0,1,0,0,1,0,10,0
362,3.08,4.666666666666667,0,1,0,0,1,1,14,0
363,10.66,2.6666666666666665,0,1,0,0,0,0,13,1
364,7.69,13.666666666666666,0,1,0,0,1,0,16,0
365,2.54,1.6666666666666667,0,1,0,0,0,0,13,1
366,6.38,10.0,0,1,0,0,1,0,12,0
367,4.81,4.0,0,1,0,0,1,1,17,1
368,3.82,8.0,0,1,0,1,0,0,12,0
369,7.4,6.333333333333333,0,1,0,0,1,0,13,1
370,7.69,6.666666666666667,0,1,0,0,1,0,12,1
371,8.24,7.666666666666667,0,1,0,1,1,1,14,0
372,2.63,1.0,0,1,0,0,0,0,8,0
373,5.31,6.666666666666667,0,1,0,0,1,0,13,1
374,3.0,15.0,0,1,0,0,1,0,5,0
375,5.7,10.333333333333334,0,1,0,0,1,0,12,0
376,17.49,7.666666666666667,0,1,0,0,1,0,13,1
377,3.89,2.3333333333333335,0,1,0,0,0,1,13,0
378,16.14,7.666666666666667,1,1,0,0,1,0,10,1
379,18.32,8.333333333333334,0,1,0,0,1,0,13,1
380,10.42,9.333333333333334,1,0,0,0,1,0,8,1
381,24.73,12.0,0,1,0,0,1,0,12,1
382,7.61,4.666666666666667,0,1,0,0,1,0,13,1
383,10.0,13.666666666666666,0,1,0,0,1,0,17,1
384,1.68,5.0,0,1,0,0,1,0,10,0
385,5.1,11.333333333333334,0,0,1,0,1,1,17,1
386,7.72,6.666666666666667,0,1,0,0,1,0,16,1
387,13.46,6.666666666666667,0,1,0,0,1,0,16,1
388,17.48,11.666666666666666,0,1,0,0,1,0,17,1
389,1.92,8.333333333333334,0,1,1,0,1,0,10,0
390,5.09,12.666666666666666,0,1,0,0,1,0,13,1
391,6.37,5.333333333333333,0,1,0,1,0,0,17,0
392,5.45,2.0,0,1,0,0,0,0,16,0
393,3.82,4.666666666666667,0,1,0,0,1,0,13,0
394,20.86,11.333333333333334,0,1,0,0,1,0,8,1
395,6.2,2.6666666666666665,0,1,0,0,0,1,17,1
396,26.22,5.666666666666667,0,1,0,0,1,1,17,1
397,2.5,9.0,0,1,0,0,1,1,12,0
398,8.1,4.333333333333333,0,1,0,0,0,0,13,1
399,6.21,14.0,0,1,0,0,1,0,12,0
400,5.24,3.6666666666666665,0,1,0,0,1,0,16,1
401,5.57,4.0,0,1,0,0,1,0,12,1
402,7.6,14.333333333333334,0,1,0,0,1,0,12,1
403,17.49,6.0,0,1,0,0,1,0,16,1
404,10.1,5.666666666666667,0,1,0,0,0,0,16,1
405,4.33,1.3333333333333333,0,1,0,0,0,0,13,0
406,5.38,13.333333333333334,0,1,0,0,1,0,12,1
407,5.7,4.666666666666667,0,1,0,0,1,0,16,1
408,15.73,10.666666666666666,0,1,0,0,1,0,12,1
409,3.16,4.333333333333333,0,1,0,1,1,1,12,0
410,7.63,11.333333333333334,1,0,0,0,0,0,13,1
411,7.69,3.3333333333333335,0,1,0,0,0,0,16,1
412,3.57,8.333333333333334,0,1,0,0,0,0,10,0
413,5.92,3.6666666666666665,0,1,0,0,1,0,13,1
414,13.12,13.333333333333334,0,1,0,0,1,0,13,1
415,38.86,9.666666666666666,0,1,0,0,1,0,13,1
416,1.92,10.0,0,0,0,1,0,0,13,0
417,10.12,6.666666666666667,1,1,0,0,1,0,16,1
418,12.82,4.0,0,1,0,0,1,0,16,1
419,5.49,6.666666666666667,0,1,0,1,0,0,13,1
420,14.79,9.666666666666666,0,1,0,0,1,0,17,1
421,10.19,5.0,0,1,0,0,1,0,17,0
422,2.11,12.333333333333334,1,1,0,1,0,0,10,0
423,9.28,3.6666666666666665,0,1,0,0,0,0,13,1
424,5.33,6.333333333333333,0,1,0,0,1,0,13,1
425,9.13,4.333333333333333,0,1,0,0,1,0,13,1
426,9.89,13.666666666666666,0,1,0,0,1,0,10,1
427,6.37,3.6666666666666665,0,1,0,0,1,0,10,0
428,4.0,8.666666666666666,0,1,0,1,0,0,12,0
429,5.09,2.3333333333333335,0,1,0,0,1,0,13,1
430,5.13,7.0,0,1,0,0,1,0,12,1
431,2.47,0.3333333333333333,0,1,0,1,0,0,16,1
432,3.29,8.666666666666666,0,1,0,1,1,0,10,0
433,3.95,0.3333333333333333,0,1,0,1,0,0,12,0
434,3.04,4.0,0,1,0,1,1,0,12,0
435,2.27,1.0,0,1,0,1,1,0,12,0
436,3.34,1.6666666666666667,0,1,0,1,1,0,12,0
437,4.9,1.6666666666666667,1,1,0,0,0,0,13,0
438,7.21,2.0,0,1,0,0,1,0,14,1
439,3.44,0.3333333333333333,0,1,0,0,0,0,12,1
440,2.4,2.0,0,1,0,1,1,0,12,1
441,8.26,12.666666666666666,0,1,0,0,1,0,12,1
442,10.68,12.666666666666666,0,1,0,0,1,0,12,1
443,4.62,12.333333333333334,0,1,0,0,1,0,13,0
444,7.55,8.666666666666666,0,1,0,0,1,0,13,1
445,6.75,14.0,0,0,0,0,1,0,13,0
446,7.69,14.0,0,1,0,0,1,0,12,1
447,7.25,3.3333333333333335,0,1,0,0,1,0,14,1
448,8.74,5.333333333333333,0,1,0,0,1,0,12,1
449,4.62,11.333333333333334,0,1,0,0,1,0,13,0
450,3.33,5.666666666666667,0,1,0,0,0,0,12,0
451,4.81,4.0,0,1,0,1,0,0,12,0
452,4.58,8.0,0,1,0,0,1,0,12,0
453,4.09,1.0,0,1,0,1,1,0,13,0
454,1.83,1.0,0,0,0,1,0,0,13,1
455,3.33,4.666666666666667,0,1,0,0,1,0,10,0
456,4.72,1.0,0,0,0,1,0,0,12,0
457,3.06,10.666666666666666,0,1,0,0,1,0,12,1
458,4.95,3.0,0,1,0,0,1,0,13,1
459,11.54,11.333333333333334,0,1,0,0,1,0,13,1
460,5.63,1.6666666666666667,0,1,0,0,1,0,14,0
461,4.05,3.3333333333333335,0,1,0,1,1,0,12,0
462,1.16,0.6666666666666666,0,1,0,1,0,0,13,1
463,4.1,11.333333333333334,0,1,0,1,1,0,8,0
464,2.46,5.666666666666667,0,1,0,1,1,0,12,0
465,4.11,3.3333333333333335,0,1,0,1,0,1,12,1
466,6.11,14.666666666666666,0,1,0,1,1,0,13,0
467,4.47,3.6666666666666665,0,1,0,1,1,0,12,1
468,4.62,1.0,0,1,0,1,0,0,12,1
469,1.28,0.6666666666666666,0,1,0,1,1,1,13,0
470,4.4,8.333333333333334,0,1,0,1,0,0,12,1
471,1.27,4.0,0,1,0,1,1,1,12,0
472,3.95,3.3333333333333335,0,1,0,1,0,0,12,1
473,3.64,2.6666666666666665,0,0,0,0,0,0,12,0
474,3.75,1.6666666666666667,0,1,0,1,0,0,14,1
475,3.21,4.0,0,1,0,1,0,0,13,1
476,2.63,2.0,0,1,0,1,1,1,13,0
477,5.64,3.0,0,1,0,0,1,0,16,0
478,3.0,0.6666666666666666,0,1,0,1,0,0,12,1
479,1.98,2.3333333333333335,0,1,0,1,1,0,12,1
480,4.81,8.666666666666666,0,1,0,1,0,0,12,0
